A0A1B0GTU1	ZC3H11B
O00763	ACACB
O00764	PDXK
O00767	SCD
O14495	PLPP3
O14497	ARID1A
O14519	CDK2AP1
O14521	SDHD
O14523	C2CD2L
O14524	NEMP1
O14530	TXNDC9
O14531	DPYSL4
O14548	COX7A2L
O14561	NDUFAB1
O14562	UBFD1
O14578	CIT
O14579	COPE
O14617	AP3D1
O14641	DVL2
O14646	CHD1
O14647	CHD2
O14653	GOSR2
O14654	IRS4
O14656	TOR1A
O14657	TOR1B
O14662	STX16
O14672	ADAM10
O14678	ABCD4
O14681	EI24
O14683	TP53I11
O14715	RGPD8
O14727	APAF1
O14733	MAP2K7
O14734	ACOT8
O14735	CDIPT
O14737	PDCD5
O14744	PRMT5
O14745	SLC9A3R1
O14757	CHEK1
O14770	MEIS2
O14772	FPGT
O14773	TPP1
O14776	TCERG1
O14777	NDC80
O14782	KIF3C
O14786	NRP1
O14787	TNPO2
O14795	UNC13B
O14802	POLR3A
O14818	PSMA7
O14828	SCAMP3
O14867	BACH1
O14874	BCKDK
O14880	MGST3
O14908	GIPC1
O14910	LIN7A
O14920	IKBKB
O14925	TIMM23
O14929	HAT1
O14936	CASK
O14949	UQCRQ
O14957	UQCR11
O14964	HGS
O14965	AURKA
O14966	RAB29
O14967	CLGN
O14972	DSCR3
O14974	PPP1R12A
O14975	SLC27A2
O14976	GAK
O14979	HNRNPDL
O14980	XPO1
O14981	BTAF1
O14983	ATP2A1
O15013	ARHGEF10
O15020	SPTBN2
O15027	SEC16A
O15031	PLXNB2
O15040	TECPR2
O15042	U2SURP
O15047	SETD1A
O15067	PFAS
O15078	CEP290
O15084	ANKRD28
O15085	ARHGEF11
O15091	KIAA0391
O15111	CHUK
O15118	NPC1
O15120	AGPAT2
O15121	DEGS1
O15126	SCAMP1
O15127	SCAMP2
O15131	KPNA5
O15143	ARPC1B
O15144	ARPC2
O15145	ARPC3
O15155	BET1
O15160	POLR1C
O15164	TRIM24
O15173	PGRMC2
O15212	PFDN6
O15213	WDR46
O15217	GSTA4
O15226	NKRF
O15228	GNPAT
O15235	MRPS12
O15254	ACOX3
O15258	RER1
O15260	SURF4
O15269	SPTLC1
O15270	SPTLC2
O15287	FANCG
O15294	OGT
O15305	PMM2
O15321	TM9SF1
O15344	MID1
O15347	HMGB3
O15355	PPM1G
O15357	INPPL1
O15360	FANCA
O15371	EIF3D
O15372	EIF3H
O15379	HDAC3
O15381	NVL
O15382	BCAT2
O15391	YY2
O15397	IPO8
O15400	STX7
O15439	ABCC4
O15446	CD3EAP
O15460	P4HA2
O15484	CAPN5
O15498	YKT6
O15504	NUPL2
O15511	ARPC5
O15514	POLR2D
O15530	PDPK1
O15533	TAPBP
O15550	KDM6A
O43143	DHX15
O43148	RNMT
O43149	ZZEF1
O43156	TTI1
O43159	RRP8
O43164	PJA2
O43166	SIPA1L1
O43169	CYB5B
O43172	PRPF4
O43175	PHGDH
O43237	DYNC1LI2
O43242	PSMD3
O43251	RBFOX2
O43252	PAPSS1
O43264	ZW10
O43286	B4GALT5
O43290	SART1
O43292	GPAA1
O43293	DAPK3
O43301	HSPA12A
O43314	PPIP5K2
O43318	MAP3K7
O43324	EEF1E1
O43347	MSI1
O43353	RIPK2
O43379	WDR62
O43390	HNRNPR
O43395	PRPF3
O43396	TXNL1
O43399	TPD52L2
O43402	EMC8
O43405	COCH
O43414	ERI3
O43426	SYNJ1
O43427	FIBP
O43432	EIF4G3
O43447	PPIH
O43464	HTRA2
O43482	OIP5
O43488	AKR7A2
O43491	EPB41L2
O43493	TGOLN2
O43502	RAD51C
O43504	LAMTOR5
O43505	B4GAT1
O43524	FOXO3
O43542	XRCC3
O43567	RNF13
O43572	AKAP10
O43583	DENR
O43592	XPOT
O43598	DNPH1
O43615	TIMM44
O43617	TRAPPC3
O43633	CHMP2A
O43639	NCK2
O43657	TSPAN6
O43660	PLRG1
O43663	PRC1
O43665	RGS10
O43670	ZNF207
O43674	NDUFB5
O43676	NDUFB3
O43678	NDUFA2
O43681	ASNA1
O43683	BUB1
O43684	BUB3
O43707	ACTN4
O43708	GSTZ1
O43709	BUD23
O43716	GATC
O43719	HTATSF1
O43731	KDELR3
O43747	AP1G1
O43752	STX6
O43760	SYNGR2
O43765	SGTA
O43768	ENSA
O43772	SLC25A20
O43776	NARS
O43791	SPOP
O43795	MYO1B
O43805	SSNA1
O43808	SLC25A17
O43809	NUDT21
O43813	LANCL1
O43815	STRN
O43818	RRP9
O43819	SCO2
O43823	AKAP8
O43824	GTPBP6
O43826	SLC37A4
O43837	IDH3B
O43847	NRDC
O43852	CALU
O43865	AHCYL1
O43896	KIF1C
O43909	EXTL3
O43913	ORC5
O43920	NDUFS5
O43924	PDE6D
O43929	ORC4
O43933	PEX1
O60216	RAD21
O60220	TIMM8A
O60231	DHX16
O60244	MED14
O60245	PCDH7
O60256	PRPSAP2
O60264	SMARCA5
O60266	ADCY3
O60271	SPAG9
O60281	ZNF292
O60282	KIF5C
O60287	URB1
O60291	MGRN1
O60293	ZFC3H1
O60294	LCMT2
O60306	AQR
O60313	OPA1
O60315	ZEB2
O60318	MCM3AP
O60333	KIF1B
O60341	KDM1A
O60343	TBC1D4
O60346	PHLPP1
O60361	NME2P1
O60427	FADS1
O60437	PPL
O60443	GSDME
O60476	MAN1A2
O60488	ACSL4
O60493	SNX3
O60499	STX10
O60502	MGEA5
O60504	SORBS3
O60506	SYNCRIP
O60508	CDC40
O60512	B4GALT3
O60518	RANBP6
O60522	TDRD6
O60524	NEMF
O60547	GMDS
O60551	NMT2
O60563	CCNT1
O60566	BUB1B
O60568	PLOD3
O60573	EIF4E2
O60583	CCNT2
O60610	DIAPH1
O60613	SELENOF
O60637	TSPAN3
O60645	EXOC3
O60658	PDE8A
O60664	PLIN3
O60671	RAD1
O60678	PRMT3
O60684	KPNA6
O60701	UGDH
O60716	CTNND1
O60725	ICMT
O60739	EIF1B
O60749	SNX2
O60759	CYTIP
O60762	DPM1
O60763	USO1
O60783	MRPS14
O60784	TOM1
O60825	PFKFB2
O60826	CCDC22
O60828	PQBP1
O60830	TIMM17B
O60831	PRAF2
O60832	DKC1
O60841	EIF5B
O60858	TRIM13
O60869	EDF1
O60870	KIN
O60879	DIAPH2
O60884	DNAJA2
O60885	BRD4
O60888	CUTA
O60911	CTSV
O60921	HUS1
O60925	PFDN1
O60934	NBN
O60942	RNGTT
O75027	ABCB7
O75037	KIF21B
O75044	SRGAP2
O75063	FAM20B
O75071	EFCAB14
O75083	WDR1
O75113	N4BP1
O75116	ROCK2
O75122	CLASP2
O75127	PTCD1
O75128	COBL
O75131	CPNE3
O75132	ZBED4
O75143	ATG13
O75146	HIP1R
O75147	OBSL1
O75150	RNF40
O75151	PHF2
O75152	ZC3H11A
O75153	CLUH
O75155	CAND2
O75165	DNAJC13
O75170	PPP6R2
O75175	CNOT3
O75179	ANKRD17
O75182	SIN3B
O75190	DNAJB6
O75192	PEX11A
O75204	TMEM127
O75208	COQ9
O75223	GGCT
O75251	NDUFS7
O75298	RTN2
O75306	NDUFS2
O75312	ZPR1
O75319	DUSP11
O75323	NIPSNAP2
O75330	HMMR
O75340	PDCD6
O75347	TBCA
O75348	ATP6V1G1
O75351	VPS4B
O75352	MPDU1
O75367	H2AFY
O75368	SH3BGRL
O75369	FLNB
O75376	NCOR1
O75380	NDUFS6
O75381	PEX14
O75382	TRIM3
O75386	TULP3
O75390	CS
O75394	MRPL33
O75396	SEC22B
O75400	PRPF40A
O75410	TACC1
O75414	NME6
O75419	CDC45
O75427	LRCH4
O75431	MTX2
O75436	VPS26A
O75438	NDUFB1
O75439	PMPCB
O75446	SAP30
O75448	MED24
O75449	KATNA1
O75475	PSIP1
O75477	ERLIN1
O75486	SUPT3H
O75487	GPC4
O75489	NDUFS3
O75494	SRSF10
O75503	CLN5
O75521	ECI2
O75525	KHDRBS3
O75528	TADA3
O75529	TAF5L
O75530	EED
O75531	BANF1
O75533	SF3B1
O75534	CSDE1
O75569	PRKRA
O75575	CRCP
O75581	LRP6
O75582	RPS6KA5
O75592	MYCBP2
O75600	GCAT
O75607	NPM3
O75608	LYPLA1
O75616	ERAL1
O75629	CREG1
O75635	SERPINB7
O75643	SNRNP200
O75648	TRMU
O75663	TIPRL
O75665	OFD1
O75683	SURF6
O75691	UTP20
O75694	NUP155
O75695	RP2
O75717	WDHD1
O75718	CRTAP
O75746	SLC25A12
O75787	ATP6AP2
O75792	RNASEH2A
O75794	CDC123
O75815	BCAR3
O75817	POP7
O75818	RPP40
O75821	EIF3G
O75822	EIF3J
O75828	CBR3
O75832	PSMD10
O75844	ZMPSTE24
O75845	SC5D
O75874	IDH1
O75879	GATB
O75880	SCO1
O75881	CYP7B1
O75882	ATRN
O75884	RBBP9
O75886	STAM2
O75909	CCNK
O75911	DHRS3
O75915	ARL6IP5
O75925	PIAS1
O75928	PIAS2
O75934	BCAS2
O75935	DCTN3
O75937	DNAJC8
O75940	SMNDC1
O75947	ATP5H
O75955	FLOT1
O75962	TRIO
O75964	ATP5L
O75970	MPDZ
O75976	CPD
O76003	GLRX3
O76021	RSL1D1
O76024	WFS1
O76031	CLPX
O76054	SEC14L2
O76062	TM7SF2
O76071	CIAO1
O76075	DFFB
O76094	SRP72
O94760	DDAH1
O94761	RECQL4
O94762	RECQL5
O94766	B3GAT3
O94776	MTA2
O94782	USP1
O94788	ALDH1A2
O94804	STK10
O94806	PRKD3
O94808	GFPT2
O94813	SLIT2
O94822	LTN1
O94826	TOMM70
O94830	DDHD2
O94832	MYO1D
O94842	TOX4
O94855	SEC24D
O94874	UFL1
O94880	PHF14
O94886	TMEM63A
O94887	FARP2
O94888	UBXN7
O94898	LRIG2
O94901	SUN1
O94903	PLPBP
O94905	ERLIN2
O94906	PRPF6
O94913	PCF11
O94915	FRYL
O94916	NFAT5
O94919	ENDOD1
O94923	GLCE
O94925	GLS
O94927	HAUS5
O94952	FBXO21
O94955	RHOBTB3
O94966	USP19
O94967	WDR47
O94973	AP2A2
O94979	SEC31A
O94992	HEXIM1
O95059	RPP14
O95067	CCNB2
O95070	YIF1A
O95071	UBR5
O95081	AGFG2
O95104	SCAF4
O95139	NDUFB6
O95140	MFN2
O95155	UBE4B
O95159	ZFPL1
O95163	ELP1
O95167	NDUFA3
O95168	NDUFB4
O95169	NDUFB8
O95182	NDUFA7
O95197	RTN3
O95202	LETM1
O95208	EPN2
O95218	ZRANB2
O95219	SNX4
O95229	ZWINT
O95232	LUC7L3
O95235	KIF20A
O95239	KIF4A
O95248	SBF1
O95249	GOSR1
O95251	KAT7
O95260	ATE1
O95292	VAPB
O95295	SNAPIN
O95297	MPZL1
O95298	NDUFC2
O95299	NDUFA10
O95302	FKBP9
O95319	CELF2
O95336	PGLS
O95340	PAPSS2
O95342	ABCB11
O95347	SMC2
O95352	ATG7
O95363	FARS2
O95372	LYPLA2
O95373	IPO7
O95376	ARIH2
O95379	TNFAIP8
O95382	MAP3K6
O95391	SLU7
O95394	PGM3
O95396	MOCS3
O95400	CD2BP2
O95405	ZFYVE9
O95425	SVIL
O95429	BAG4
O95433	AHSA1
O95453	PARN
O95456	PSMG1
O95470	SGPL1
O95478	NSA2
O95486	SEC24A
O95487	SEC24B
O95490	ADGRL2
O95503	CBX6
O95551	TDP2
O95563	MPC2
O95571	ETHE1
O95573	ACSL3
O95602	POLR1A
O95613	PCNT
O95619	YEATS4
O95628	CNOT4
O95630	STAMBP
O95639	CPSF4
O95674	CDS2
O95677	EYA4
O95684	FGFR1OP
O95696	BRD1
O95707	POP4
O95714	HERC2
O95716	RAB3D
O95721	SNAP29
O95747	OXSR1
O95749	GGPS1
O95755	RAB36
O95757	HSPA4L
O95758	PTBP3
O95772	STARD3NL
O95777	LSM8
O95782	AP2A1
O95785	WIZ
O95793	STAU1
O95801	TTC4
O95816	BAG2
O95817	BAG3
O95819	MAP4K4
O95822	MLYCD
O95825	CRYZL1
O95831	AIFM1
O95858	TSPAN15
O95861	BPNT1
O95864	FADS2
O95865	DDAH2
O95870	ABHD16A
O95873	C6orf47
O95881	TXNDC12
O95900	TRUB2
O95905	ECD
O95983	MBD3
O95985	TOP3B
O95989	NUDT3
O95999	BCL10
O96000	NDUFB10
O96005	CLPTM1
O96006	ZBED1
O96007	MOCS2
O96008	TOMM40
O96011	PEX11B
O96013	PAK4
O96017	CHEK2
O96019	ACTL6A
O96028	NSD2
P00338	LDHA
P00367	GLUD1
P00374	DHFR
P00387	CYB5R3
P00390	GSR
P00395	COX1
P00403	COX2
P00491	PNP
P00492	HPRT1
P00505	GOT2
P00533	EGFR
P00558	PGK1
P00568	AK1
P00738	HP
P00813	ADA
P00846	ATP6
P00966	ASS1
P01009	SERPINA1
P01011	SERPINA3
P01023	A2M
P01036	CST4
P01037	CST1
P01040	CSTA
P01106	MYC
P01111	NRAS
P01130	LDLR
P01833	PIGR
P01834	IGKC
P01857	IGHG1
P01876	IGHA1
P01889	HLA-B
P02545	LMNA
P02647	APOA1
P02652	APOA2
P02654	APOC1
P02655	APOC2
P02656	APOC3
P02671	FGA
P02763	ORM1
P02766	TTR
P02786	TFRC
P02792	FTL
P02794	FTH1
P02814	SMR3B
P03886	ND1
P03891	ND2
P03905	ND4
P03915	ND5
P03928	ATP8
P04035	HMGCR
P04049	RAF1
P04062	GBA
P04066	FUCA1
P04075	ALDOA
P04080	CSTB
P04083	ANXA1
P04114	APOB
P04150	NR3C1
P04179	SOD2
P04181	OAT
P04183	TK1
P04279	SEMG1
P04350	TUBB4A
P04406	GAPDH
P04439	HLA-A
P04626	ERBB2
P04632	CAPNS1
P04637	TP53
P04792	HSPB1
P04818	TYMS
P04843	RPN1
P04844	RPN2
P04899	GNAI2
P04920	SLC4A2
P05023	ATP1A1
P05026	ATP1B1
P05067	APP
P05089	ARG1
P05090	APOD
P05091	ALDH2
P05109	S100A8
P05114	HMGN1
P05141	SLC25A5
P05164	MPO
P05165	PCCA
P05166	PCCB
P05198	EIF2S1
P05204	HMGN2
P05386	RPLP1
P05387	RPLP2
P05388	RPLP0
P05412	JUN
P05455	SSB
P05496	ATP5G1
P05549	TFAP2A
P05556	ITGB1
P05771	PRKCB
P05783	KRT18
P06132	UROD
P06213	INSR
P06241	FYN
P06280	GLA
P06340	HLA-DOA
P06400	RB1
P06454	PTMA
P06493	CDK1
P06576	ATP5B
P06702	S100A9
P06730	EIF4E
P06733	ENO1
P06737	PYGL
P06744	GPI
P06746	POLB
P06748	NPM1
P06753	TPM3
P06756	ITGAV
P06865	HEXA
P07099	EPHX1
P07108	DBI
P07195	LDHB
P07196	NEFL
P07197	NEFM
P07199	CENPB
P07205	PGK2
P07237	P4HB
P07305	H1F0
P07355	ANXA2
P07384	CAPN1
P07437	TUBB
P07602	PSAP
P07686	HEXB
P07711	CTSL
P07737	PFN1
P07741	APRT
P07814	EPRS
P07858	CTSB
P07900	HSP90AA1
P07910	HNRNPC
P07942	LAMB1
P07947	YES1
P07948	LYN
P07951	TPM2
P07954	FH
P08047	SP1
P08069	IGF1R
P08133	ANXA6
P08134	RHOC
P08174	CD55
P08183	ABCB1
P08195	SLC3A2
P08236	GUSB
P08237	PFKM
P08238	HSP90AB1
P08240	SRPRA
P08243	ASNS
P08247	SYP
P08397	HMBS
P08559	PDHA1
P08574	CYC1
P08579	SNRPB2
P08581	MET
P08621	SNRNP70
P08651	NFIC
P08670	VIM
P08708	RPS17
P08754	GNAI3
P08865	RPSA
P08962	CD63
P09001	MRPL3
P09012	SNRPA
P09104	ENO2
P09110	ACAA1
P09132	SRP19
P09234	SNRPC
P09382	LGALS1
P09417	QDPR
P09429	HMGB1
P09455	RBP1
P09471	GNAO1
P09493	TPM1
P09496	CLTA
P09497	CLTB
P09525	ANXA4
P09543	CNP
P09601	HMOX1
P09622	DLD
P09651	HNRNPA1
P09661	SNRPA1
P09669	COX6C
P09874	PARP1
P09884	POLA1
P09936	UCHL1
P09960	LTA4H
P09972	ALDOC
P0C7P0	CISD3
P0CG08	GPR89B
P0CG13	CHTF8
P0CG38	POTEI
P0DI82	TRAPPC2B
P0DJ07	PET100
P0DJI9	SAA2
P0DMN0	SULT1A4
P0DMV9	HSPA1B
P0DN79	P0DN79
P0DP25	CALM3
P10109	FDX1
P10155	TROVE2
P10243	MYBL1
P10253	GAA
P10301	RRAS
P10321	HLA-C
P10398	ARAF
P10412	HIST1H1E
P10515	DLAT
P10586	PTPRF
P10588	NR2F6
P10589	NR2F1
P10606	COX5B
P10619	CTSA
P10620	MGST1
P10644	PRKAR1A
P10768	ESD
P10809	HSPD1
P10909	CLU
P11021	HSPA5
P11047	LAMC1
P11117	ACP2
P11142	HSPA8
P11166	SLC2A1
P11171	EPB41
P11172	UMPS
P11177	PDHB
P11182	DBT
P11216	PYGB
P11217	PYGM
P11233	RALA
P11234	RALB
P11274	BCR
P11277	SPTB
P11279	LAMP1
P11310	ACADM
P11362	FGFR1
P11387	TOP1
P11388	TOP2A
P11413	G6PD
P11441	UBL4A
P11474	ESRRA
P11498	PC
P11532	DMD
P11586	MTHFD1
P11717	IGF2R
P11766	ADH5
P11802	CDK4
P11908	PRPS2
P11940	PABPC1
P12004	PCNA
P12235	SLC25A4
P12236	SLC25A6
P12268	IMPDH2
P12270	TPR
P12273	PIP
P12277	CKB
P12429	ANXA3
P12532	CKMT1A*
P12694	BCKDHA
P12814	ACTN1
P12931	SRC
P12955	PEPD
P12956	XRCC6
P13010	XRCC5
P13051	UNG
P13073	COX4I1
P13196	ALAS1
P13473	LAMP2
P13489	RNH1
P13498	CYBA
P13591	NCAM1
P13637	ATP1A3
P13639	EEF2
P13646	KRT13
P13667	PDIA4
P13674	P4HA1
P13693	TPT1
P13747	HLA-E
P13797	PLS3
P13798	APEH
P13804	ETFA
P13807	GYS1
P13861	PRKAR2A
P13929	ENO3
P13984	GTF2F2
P13995	MTHFD2
P14174	MIF
P14314	PRKCSH
P14324	FDPS
P14373	TRIM27
P14406	COX7A2
P14543	NID1
P14550	AKR1A1
P14618	PKM
P14625	HSP90B1
P14635	CCNB1
P14649	MYL6B
P14672	SLC2A4
P14735	IDE
P14854	COX6B1
P14859	POU2F1
P14866	HNRNPL
P14868	DARS
P14923	JUP
P14927	UQCRB
P15056	BRAF
P15104	GLUL
P15121	AKR1B1
P15151	PVR
P15170	GSPT1
P15260	IFNGR1
P15289	ARSA
P15291	B4GALT1
P15311	EZR
P15374	UCHL3
P15529	CD46
P15531	NME1
P15586	GNS
P15735	PHKG2
P15880	RPS2
P15924	DSP
P15927	RPA2
P15954	COX7C
P16104	H2AFX
P16152	CBR1
P16219	ACADS
P16220	CREB1
P16260	SLC25A16
P16278	GLB1
P16298	PPP3CB
P16333	NCK1
P16383	GCFC2
P16401	HIST1H1B
P16402	HIST1H1D
P16403	HIST1H1C
P16435	POR
P16455	MGMT
P16591	FER
P16615	ATP2A2
P16870	CPE
P16885	PLCG2
P16930	FAH
P16949	STMN1
P16989	YBX3
P17028	ZNF24
P17050	NAGA
P17066	HSPA6
P17096	HMGA1
P17152	TMEM11
P17174	GOT1
P17252	PRKCA
P17301	ITGA2
P17302	GJA1
P17405	SMPD1
P17480	UBTF
P17482	HOXB9
P17509	HOXB6
P17544	ATF7
P17568	NDUFB7
P17612	PRKACA
P17655	CAPN2
P17661	DES
P17693	HLA-G
P17706	PTPN2
P17812	CTPS1
P17844	DDX5
P17858	PFKL
P17900	GM2A
P17931	LGALS3
P17980	PSMC3
P17987	TCP1
P18031	PTPN1
P18074	ERCC2
P18077	RPL35A
P18085	ARF4
P18124	RPL7
P18206	VCL
P18433	PTPRA
P18583	SON
P18615	NELFE
P18621	RPL17
P18669	PGAM1
P18754	RCC1
P18846	ATF1
P18858	LIG1
P18859	ATP5J
P18887	XRCC1
P19021	PAM
P19022	CDH2
P19174	PLCG1
P19338	NCL
P19367	HK1
P19387	POLR2C
P19388	POLR2E
P19404	NDUFV2
P19447	ERCC3
P19474	TRIM21
P19525	EIF2AK2
P19622	EN2
P19623	SRM
P19784	CSNK2A2
P19838	NFKB1
P19971	TYMP
P20020	ATP2B1
P20042	EIF2S2
P20073	ANXA7
P20226	TBP
P20248	CCNA2
P20290	BTF3
P20336	RAB3A
P20337	RAB3B
P20338	RAB4A
P20339	RAB5A
P20340	RAB6A
P20585	MSH3
P20618	PSMB1
P20645	M6PR
P20674	COX5A
P20700	LMNB1
P20810	CAST
P20839	IMPDH1
P20933	AGA
P20936	RASA1
P21127	CDK11B
P21266	GSTM3
P21281	ATP6V1B2
P21283	ATP6V1C1
P21333	FLNA
P21359	NF1
P21399	ACO1
P21675	TAF1
P21796	VDAC1
P21912	SDHB
P21953	BCKDHB
P21964	COMT
P22033	MUT
P22059	OSBP
P22061	PCMT1
P22087	FBL
P22090	RPS4Y1
P22102	GART
P22234	PAICS
P22307	SCP2
P22314	UBA1
P22392	NME2
P22413	ENPP1
P22415	USF1
P22466	GAL
P22492	HIST1H1T
P22570	FDXR
P22607	FGFR3
P22612	PRKACG
P22626	HNRNPA2B1
P22670	RFX1
P22681	CBL
P22694	PRKACB
P22695	UQCRC2
P22735	TGM1
P22830	FECH
P23025	XPA
P23193	TCEA1
P23229	ITGA6
P23246	SFPQ
P23258	TUBG1
P23284	PPIB
P23368	ME2
P23378	GLDC
P23381	WARS
P23396	RPS3
P23458	JAK1
P23508	MCC
P23526	AHCY
P23528	CFL1
P23588	EIF4B
P23634	ATP2B4
P23763	VAMP1
P23786	CPT2
P23919	DTYMK
P23921	RRM1
P24158	PRTN3
P24386	CHM
P24390	KDELR1
P24468	NR2F2
P24534	EEF1B2
P24539	ATP5F1
P24588	AKAP5
P24666	ACP1
P24752	ACAT1
P24863	CCNC
P24928	POLR2A
P24941	CDK2
P25054	APC
P25098	GRK2
P25205	MCM3
P25208	NFYB
P25311	AZGP1
P25325	MPST
P25398	RPS12
P25440	BRD2
P25490	YY1
P25685	DNAJB1
P25705	ATP5A1
P25786	PSMA1
P25787	PSMA2
P25788	PSMA3
P25789	PSMA4
P26038	MSN
P26196	DDX6
P26232	CTNNA2
P26358	DNMT1
P26367	PAX6
P26368	U2AF2
P26373	RPL13
P26374	CHML
P26440	IVD
P26572	MGAT1
P26583	HMGB2
P26599	PTBP1
P26639	TARS
P26640	VARS1
P26641	EEF1G
P26885	FKBP2
P27105	STOM
P27144	AK4
P27338	MAOB
P27348	YWHAQ
P27361	MAPK3
P27448	MARK3
P27449	ATP6V0C
P27544	CERS1
P27635	RPL10
P27694	RPA1
P27695	APEX1
P27707	DCK
P27708	CAD
P27797	CALR
P27816	MAP4
P27824	CANX
P28066	PSMA5
P28070	PSMB4
P28072	PSMB6
P28074	PSMB5
P28161	GSTM2
P28288	ABCD3
P28289	TMOD1
P28290	SSFA2
P28331	NDUFS1
P28340	POLD1
P28347	TEAD1
P28356	HOXD9
P28370	SMARCA1
P28482	MAPK1
P28702	RXRB
P28749	RBL1
P28838	LAP3
P29083	GTF2E1
P29084	GTF2E2
P29144	TPP2
P29218	IMPA1
P29317	EPHA2
P29353	SHC1
P29372	MPG
P29373	CRABP2
P29374	ARID4A
P29375	KDM5A
P29401	TKT
P29508	SERPINB3
P29590	PML
P29597	TYK2
P29692	EEF1D
P29966	MARCKS
P29992	GNA11
P30038	ALDH4A1
P30040	ERP29
P30041	PRDX6
P30043	BLVRB
P30044	PRDX5
P30046	DDT
P30048	PRDX3
P30049	ATP5D
P30050	RPL12
P30084	ECHS1
P30085	CMPK1
P30086	PEBP1
P30101	PDIA3
P30153	PPP2R1A
P30154	PPP2R1B
P30260	CDC27
P30307	CDC25C
P30405	PPIF
P30414	NKTR
P30419	NMT1
P30511	HLA-F
P30519	HMOX2
P30520	ADSS
P30533	LRPAP1
P30536	TSPO
P30566	ADSL
P30622	CLIP1
P30626	SRI
P30740	SERPINB1
P30825	SLC7A1
P30837	ALDH1B1
P30876	POLR2B
P31025	LCN1
P31040	SDHA
P31146	CORO1A
P31150	GDI1
P31151	S100A7
P31152	MAPK4
P31153	MAT2A
P31260	HOXA10
P31270	HOXA11
P31274	HOXC9
P31277	HOXD11
P31321	PRKAR1B
P31323	PRKAR2B
P31350	RRM2
P31483	TIA1
P31689	DNAJA1
P31749	AKT1
P31751	AKT2
P31930	UQCRC1
P31937	HIBADH
P31939	ATIC
P31942	HNRNPH3
P31943	HNRNPH1
P31944	CASP14
P31946	YWHAB
P31947	SFN
P31948	STIP1
P31949	S100A11
P32119	PRDX2
P32121	ARRB2
P32189	GK
P32321	DCTD
P32322	PYCR1
P32780	GTF2H1
P32929	CTH
P32969	RPL9
P33121	ACSL1
P33176	KIF5B
P33240	CSTF2
P33316	DUT
P33527	ABCC1
P33897	ABCD1
P33908	MAN1A1
P33947	KDELR2
P33981	TTK
P33991	MCM4
P33992	MCM5
P33993	MCM7
P34059	GALNS
P34896	SHMT1
P34897	SHMT2
P34913	EPHX2
P34931	HSPA1L
P34932	HSPA4
P34949	MPI
